Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,Batsman
,,134.37,,,South Africa,Southampton,05-06-2019,Virat Kohli 
,,90.9,,,Australia,The Oval,09-06-2019,Virat Kohli 
,,55.55,,,Pakistan,Manchester,16-06-2019,Virat Kohli 
,,90.9,,,Afganistan,Southampton,22-06-2019,Virat Kohli 
,,113.79,,,West Indies,Manchester,27-06-2019,Virat Kohli 
,,98.61,,,England,Birmingham,30-06-2019,Virat Kohli 
,,123.07,,,Bangladesh,Birmingham,02-07-2019,Virat Kohli 
,,94.82,,,Sri Lanka,Leeds,06-07-2019,Virat Kohli 
,,81.08,,,New Zealand,Manchester,09-07-2019,Virat Kohli 
,,113.79,,,West Indies,Chennai,15-12-2019,Virat Kohli 
