Ground;Span;Mat;Won;Tied;NR;Runs;Wkts;Balls;Ave;RPO
Eden Gardens, Kolkata - India;2013-2017;4;4;0;0;2161;72;2297;3001;564
Feroz Shah Kotla, Delhi - India;2013-2019;4;4;0;0;1789;75;2331;2385;46
Melbourne Cricket Ground - Australia;2013-2019;15;15;0;0;7656;217;8482;3528;541
Saurashtra Cricket Association Stadium, Rajkot - India;2013-2015;2;2;0;0;1163;26;1200;4473;581
Adelaide Oval - Australia;2013-2019;10;10;0;0;4863;157;5645;3097;516
Nehru Stadium, Kochi - India;2013-2014;3;3;0;0;1384;46;1567;3008;529
Brisbane Cricket Ground, Woolloongabba, Brisbane - Australia;2013-2018;8;8;0;0;3671;123;4189;2984;525
JSCA International Stadium Complex, Ranchi - India;2013-2019;5;4;0;1;2303;68;2522;3386;547
Boland Park, Paarl - South Africa;2013-2018;3;3;0;0;1478;51;1711;2898;518
Sydney Cricket Ground - Australia;2013-2019;16;14;0;2;7535;209;7876;3605;574
Diamond Oval, Kimberley - South Africa;2013-2018;3;3;0;0;1327;40;1514;3317;525
Bellerive Oval, Hobart - Australia;2013-2018;6;6;0;0;3167;94;3192;3369;595
Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh - India;2013-2019;5;5;0;0;3056;67;2957;4561;62
Senwes Park, Potchefstroom - South Africa;2013-2015;2;2;0;0;935;30;1164;3116;481
Himachal Pradesh Cricket Association Stadium, Dharamsala - India;2013-2017;4;4;0;0;1664;56;1987;2971;502
W.A.C.A. Ground, Perth - Australia;2013-2017;12;12;0;0;5197;177;5918;2936;526
Manuka Oval, Canberra - Australia;2013-2016;7;7;0;0;4226;110;4026;3841;629
Seddon Park, Hamilton - New Zealand;2013-2019;16;15;0;1;7748;215;8165;3603;569
McLean Park, Napier - New Zealand;2013-2019;8;8;0;0;3770;110;4299;3427;526
National Cricket Stadium, St George's, Grenada - West Indies;2013-2019;7;6;0;1;3051;87;3346;3506;547
Eden Park, Auckland - New Zealand;2013-2017;12;10;1;1;5214;187;5603;2788;558
Sharjah Cricket Stadium - U.A.E.;2013-2019;31;31;0;0;12905;470;15659;2745;494
Mangaung Oval, Bloemfontein - South Africa;2013-2018;3;3;0;0;1430;48;1448;2979;592
ICC Academy, Dubai - U.A.E.;2013-2019;23;22;0;1;10524;326;12214;3228;516
SuperSport Park, Centurion - South Africa;2013-2019;12;11;0;1;5669;159;5826;3565;583
The Wanderers Stadium, Johannesburg - South Africa;2013-2019;9;9;0;0;4683;122;4663;3838;602
Kingsmead, Durban - South Africa;2013-2019;9;9;0;0;4480;132;4820;3393;557
